id,name,description,slug,hardware_type,hardware_name,hardware_version,hardware_description,hardware_slug
2,SmartCitizen Kit 1.0,SCK 1.0 - Ambient Board,"sck:1,0",SCK,SmartCitizen Kit 1.0,1.0,SCK 1.0 - Ambient Board,
3,SmartCitizen Kit 1.1,SCK 1.1 - Ambient Board,"sck:1,1",SCK,SmartCitizen Kit 1.1,1.1,SCK 1.1 - Ambient Board,
4,NO2 Diffusion Tubes,Nitrogen Oxides Diffusion Tubes Spreadsheet,"ms:0,5",MS,NO2 Diffusion Tubes,0.5,Nitrogen Oxides Diffusion Tubes Spreadsheet,
5,Noise Sensor TA120,Noise Sensor CESVA TA120,"ms:0,6",CESVA,Noise Sensor TA120,TA210,Noise Sensor CESVA TA120,
6,Processing Open CV,Open CV based sensor running built on Processing.org and running on a Raspberry Pi,"ms:0,3",MS,Processing Open CV,0.3,Open CV based sensor running built on Processing.org and running on a Raspberry Pi,
7,Smart Citizen Kit 1.5 Expanded,SCK 1.5 + Grove Analog Sensor,"ms:0,4",SCK,Smart Citizen Kit 1.5 Expanded,1.5,SCK 1.5 + Grove Analog Sensor,
8,Making Sense WAAG #1,AQM sensor by WAAG,"ms:1,0",MS,Making Sense WAAG #1,1.0,AQM sensor by WAAG,
9,Making Sense WAAG #2,AQM sensor by WAAG 2,"ms:1,1",MS,Making Sense WAAG #2,1.0,AQM sensor by WAAG 2,
10,Making Sense WAAG #3,AQM sensor by WAAG 3,"ms:1,3",MS,Making Sense WAAG #3,1.0,AQM sensor by WAAG 3,
11,SCK 1.5 MS,SCK 1.5 - MS Pilot,"sck:1,5",SCK,SCK 1.5 MS,1.5,SCK 1.5 - MS Pilot,
12,Bora Kit,Bora Air Quality Sensors Kit,"ms:2,0",BK,Bora Kit,1.0,Bora Air Quality Sensors Kit,
13,GammaSense Kit,GammaSense web app that uses device camera via WebRTC,"ms:3,0",GSK,GammaSense Kit,1.0,GammaSense web app that uses device camera via WebRTC,
14,SCK 1.5,SCK 1.5 - Urban Board,"sck:1,5,1",SCK,SCK 1.5,1.5,SCK 1.5 - Urban Board,
15,SCK Aquapioneers 1.5 ,SCK 1.5 - Urban Board + Aquapioneers Board ,"sck:1,5:aq",SCK,SCK Aquapioneers 1.5 ,1.5,SCK 1.5 - Urban Board + Aquapioneers Board ,
16,SCK Grow Soil Probes,SCK 1.5 + Atlas Scientific Sensor Probes,"sck:1,5:grow:as",SCK,SCK Grow Soil Probes,1.5,SCK 1.5 + Atlas Scientific Sensor Probes,
17,SCK Grow Soil Moisture,SCK 1.5 + Urban Board + Chirp Moisture Sensor,"sck:1,5:grow:moisture",SCK,SCK Grow Soil Moisture,1.5,SCK 1.5 + Urban Board + Chirp Moisture Sensor,
18,SCK 2.0 - Dev,SCK 2.0 - Urban Board - Dev,"sck:2,0,1:dev",SCK,SCK 2.0 - Dev,2.0,SCK 2.0 - Urban Board - Dev,
19,iSCAPE Station - Dev,iSCAPE Stations Development Kit,"sck:2,0:dev:iscape:station",SCK,iSCAPE Station - Dev,2.0,iSCAPE Stations Development Kit,
20,iSCAPE Citizen Kit,iSCAPE Citizen Kit ,"sck:2,0,1",SCK,iSCAPE Citizen Kit,2.0,iSCAPE Citizen Kit ,
21,iSCAPE Station,iSCAPE Living Labs Station,"sck:2,0:iscape:station",SCK,iSCAPE Station,2.0,iSCAPE Living Labs Station,
22,BioPV Kit,SCK 2.0 - Urban Board + Atlas Scientific Sensors + Chirp Moisture + ADC,"sck:1,5:biopv",SCK,BioPV Kit,2.0,SCK 2.0 - Urban Board + Atlas Scientific Sensors + Chirp Moisture + ADC,
23,SCK Aquapioneers Lite 1.5,SCK 1.5 - Aquapioneers Lite Board ,"sck:1,5:aq:lite",SCK,SCK Aquapioneers Lite 1.5,1.5,SCK 1.5 - Aquapioneers Lite Board ,
24,SCK Wine Makers,SCK 2.0 + Waterproof Temperature Sensor,"sck:2,0:winemakers",SCK,SCK Wine Makers,2.0,SCK 2.0 + Waterproof Temperature Sensor,
25,SCK 2.1 for DECODE,DECODE Citizen Kit ,"sck:2,0,1:decode",SCK,SCK 2.1 for DECODE,2.1,DECODE Citizen Kit ,
26,SCK 2.1,Smart Citizen Kit 2.1 with Urban Sensor Board,"sck:2,1",SCK,SCK 2.1,2.1,Smart Citizen Kit 2.1 with Urban Sensor Board,
27,SCK Grow Soil Moisture 2.1,Smart Citizen Kit 2.1 with Urban Sensor Board and Chirp Soil Moisture,"sck:2,1:grow:moisture",SCK,SCK Grow Soil Moisture 2.1,2.1,Smart Citizen Kit 2.1 with Urban Sensor Board and Chirp Soil Moisture,
28,iSCAPE Station 2.1,iSCAPE Living Labs Station 2.1,"sck:2,1:iscape:station",SCK,iSCAPE Station 2.1,2.1,iSCAPE Living Labs Station 2.1,
29,SCK 2.1 Formaldehyde,Smart Citizen Kit 2.1 with Urban Sensor Board with Formaldehyde,"sck:2,1:form",SCK,SCK 2.1 Formaldehyde,2.1,Smart Citizen Kit 2.1 with Urban Sensor Board with Formaldehyde,
30,SCK 2.1 PM Board Addons,Smart Citizen Kit 2.1 with PM Board for Experimental I/O,"sck:2,1:pmboard:experiments",SCK,SCK 2.1 PM Board Addons,2.1,Smart Citizen Kit 2.1 with PM Board for Experimental I/O,
31,SCK 2.1 Sea Water,Smart Citizen Kit 2.1 with Sea Water Sensors,"sck:2,1:seawater",SCK,SCK 2.1 Sea Water,2.1,Smart Citizen Kit 2.1 with Sea Water Sensors,
32,SCK 2.1 GPS,Smart Citizen Kit 2.1 with GPS,"sck:2,1:gps",SCK,SCK 2.1 GPS,2.1,Smart Citizen Kit 2.1 with GPS,
33,Smart Citizen Station 2.1 rev3,Smart Citizen Station 2.1 rev3,"sck:2,1:station:rev3",SCK,Smart Citizen Station 2.1 rev3,2.1,Smart Citizen Station 2.1 rev3,
34,BioPV Kit 2.1,SCK 2.1 - Urban Board + PM + Atlas + Soil Moisture + ADC ADS1115,"sck:2,1:biopv",SCK,BioPV Kit 2.1,2.1,SCK 2.1 - Urban Board + PM + Atlas + Soil Moisture + ADC ADS1115,
35,SCK 2.1 CO2,SCK 2.1 - Urban Board + PM + CO2,"sck:2,1:co2",SCK,SCK 2.1 CO2,2.1,SCK 2.1 - Urban Board + PM + CO2,
36,"SCK 2.1 CO2, CO and NO2",SCK 2.1 - Urban Board + PM + CO2 + CO + NO2,"sck:2,1:co2:co:no2",SCK,"SCK 2.1 CO2, CO and NO2",2.1,SCK 2.1 - Urban Board + PM + CO2 + CO + NO2,
37,"SCK 2.1 NO2, O3",SCK 2.1 - Urban Board + PM + NO2 + O3,"sck:2,1:no2:o3",SCK,"SCK 2.1 NO2, O3",2.1,SCK 2.1 - Urban Board + PM + NO2 + O3,
38,SCK 2.1 Soil and Air,"SCK 2.1 - Soil Moisture, Soil Temperature and Air","sck:2,1:soil:air",SCK,SCK 2.1 Soil and Air,2.1,"SCK 2.1 - Soil Moisture, Soil Temperature and Air",
39,SCK 2.1 T/RH,SCK 2.1 - Urban Board + PM + T + RH,"sck:2,1:t:rh",SCK,SCK 2.1 T/RH,2.1,SCK 2.1 - Urban Board + PM + T + RH,
40,DIY Sensor Kit PCTO @ LD22,"DIY Sensor Kit PCTO for air quality, environment and GPS readings",dyi:pm:co2:gps,DIY,DIY Sensor Kit PCTO @ LD22,1.0,"DIY Sensor Kit PCTO for air quality, environment and GPS readings",
41,SCK 2.1 SPS30,Smart Citizen Kit 2.1 with Urban Sensor Board and Sensirion SPS30,"sck:2,1",SCK,SCK 2.1 SPS30,2.1,Smart Citizen Kit 2.1 with Urban Sensor Board and Sensirion SPS30,
42,SCK 2.1 SEN5X,Smart Citizen Kit 2.1 with Urban Sensor Board and Sensirion SEN5X,"sck:2,1",SCK,SCK 2.1 SEN5X,2.1,Smart Citizen Kit 2.1 with Urban Sensor Board and Sensirion SEN5X,
43,SCK 2.1 SFA30,Smart Citizen Kit 2.1 with Urban Sensor Board and Sensirion SFA30,"sck:2,1",SCK,SCK 2.1 SFA30,2.1,Smart Citizen Kit 2.1 with Urban Sensor Board and Sensirion SFA30,
44,SCK 2.1 SFA30 and SCD30,"Smart Citizen Kit 2.1 with Urban Sensor Board, Sensirion SCD30 and Sensirion SFA30","sck:2,1",SCK,SCK 2.1 SFA30 and SCD30,2.1,"Smart Citizen Kit 2.1 with Urban Sensor Board, Sensirion SCD30 and Sensirion SFA30",
45,SCK 2.1 Debug,Smart Citizen Kit 2.1 internal development,"sck:2,1",SCK,SCK 2.1 Debug,2.1,Smart Citizen Kit 2.1 internal development,
,,,,,,,,
